platform,company,platform_type
3DS,Nintendo,Handheld
Dreamcast,Sega,Console
DS,Nintendo,Handheld
GameCube,Nintendo,Console
Game Boy Advance,Nintendo,Handheld
iOS,Apple,Mobile
Nintendo 64,Nintendo,Console
PC,PC,PC
PlayStation,Sony,Console
PlayStation 2,Sony,Console
PlayStation 3,Sony,Console
PlayStation 4,Sony,Console
PlayStation 5,Sony,Console
PSP,Sony,Handheld
PlayStation Vita,Sony,Handheld
Stadia,Google,Cloud
Switch,Nintendo,Console
Wii,Nintendo,Console
Wii U,Nintendo,Console
Xbox,Microsoft,Console
Xbox 360,Microsoft,Console
Xbox One,Microsoft,Console
Xbox Series X,Microsoft,Console
